objectid;fid;code_insee;reg;dep;cv;ze2010;libgeo;p11_tot;p06_tot;p11_0014;p11_1529;p11_3044;p11_4559;p11_6074;p11_75p;p06_0014;p06_1529;p06_3044;p06_4559;p06_6074;p06_75p
3982;3981;2226;22;2;241;2206;Courmelles;1708;1705;286;260;305;378;344;135;292;236;324;434;314;106
4069;4068;2781;22;2;208;2201;Verdilly;433;446;97;57;93;122;52;12;100;86;111;102;36;9
4071;4070;2518;22;2;210;2201;Montlevon;259;253;42;51;42;66;31;27;38;32;54;61;36;31
4135;4134;2670;22;2;234;2203;Saint-Algis;160;155;30;19;32;28;27;26;27;23;27;29;30;21
4144;4143;2240;22;2;203;2205;Croix-Fonsomme;225;229;54;35;58;30;34;15;49;33;60;35;32;18
4151;4150;2607;22;2;241;2206;Ploisy;81;86;22;14;15;12;15;3;22;17;15;16;13;3
4357;4356;2526;22;2;226;2204;Morgny-en-Thiérache;112;92;27;17;24;17;15;11;19;13;20;16;15;7
4365;4364;2523;22;2;204;2206;Mont-Saint-Martin;88;51;30;6;23;18;8;4;15;9;8;14;4;1
4482;4481;2095;22;2;203;2205;Bohain-en-Vermandois;5921;6300;1209;1135;1002;1171;747;657;1346;1146;1209;1198;821;581
4491;4490;2666;22;2;226;2204;Rozoy-sur-Serre;1021;1039;204;151;193;190;164;119;200;181;201;198;165;94
4643;4642;2691;22;2;298;2205;Saint-Quentin;56278;56792;10406;11646;9916;10685;8016;5609;10850;11487;10448;11425;7312;5270
4664;4663;2022;22;2;224;2201;Arcy-Sainte-Restitue;421;420;89;71;91;76;55;39;111;51;93;82;56;27
4740;4739;2238;22;2;218;2204;Crépy;1921;1821;450;318;400;356;241;156;407;324;405;333;211;141
4864;4863;2244;22;2;205;2203;Crupilly;71;56;24;8;17;11;9;2;14;8;12;11;5;6
4868;4867;2470;22;2;202;2203;Martigny;447;452;101;65;90;88;62;41;96;71;104;89;51;39
4961;4960;2295;22;2;205;2203;Étréaupont;916;868;178;164;163;177;148;86;149;169;154;203;120;73
